instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,cnt,rush_hour,day_type,temp_category,cnt_log
15,2011-01-01,Spring,0,1,14,0,6,0,2,0.46,0.72,0.2836,35,71,106,Non-Rush Hour,Weekend,Mild,4.672828834461906
16,2011-01-01,Spring,0,1,15,0,6,0,2,0.44,0.77,0.2985,40,70,110,Non-Rush Hour,Weekend,Mild,4.709530201312334
17,2011-01-01,Spring,0,1,16,0,6,0,2,0.42,0.82,0.2985,41,52,93,Rush Hour,Weekend,Mild,4.543294782270004
18,2011-01-01,Spring,0,1,17,0,6,0,2,0.44,0.82,0.2836,15,52,67,Rush Hour,Weekend,Mild,4.219507705176107
19,2011-01-01,Spring,0,1,18,0,6,0,3,0.42,0.88,0.2537,9,26,35,Rush Hour,Weekend,Mild,3.58351893845611
20,2011-01-01,Spring,0,1,19,0,6,0,3,0.42,0.88,0.2537,6,31,37,Rush Hour,Weekend,Mild,3.6375861597263857
21,2011-01-01,Spring,0,1,20,0,6,0,2,0.4,0.87,0.2537,11,25,36,Non-Rush Hour,Weekend,Mild,3.6109179126442243
22,2011-01-01,Spring,0,1,21,0,6,0,2,0.4,0.87,0.194,3,31,34,Non-Rush Hour,Weekend,Mild,3.5553480614894135
23,2011-01-01,Spring,0,1,22,0,6,0,2,0.4,0.94,0.2239,11,17,28,Non-Rush Hour,Weekend,Mild,3.367295829986474
24,2011-01-01,Spring,0,1,23,0,6,0,2,0.46,0.88,0.2985,15,24,39,Non-Rush Hour,Weekend,Mild,3.6888794541139363
25,2011-01-02,Spring,0,1,0,0,0,0,2,0.46,0.88,0.2985,4,13,17,Non-Rush Hour,Weekend,Mild,2.8903717578961645
26,2011-01-02,Spring,0,1,1,0,0,0,2,0.44,0.94,0.2537,1,16,17,Non-Rush Hour,Weekend,Mild,2.8903717578961645
27,2011-01-02,Spring,0,1,2,0,0,0,2,0.42,1.0,0.2836,1,8,9,Non-Rush Hour,Weekend,Mild,2.302585092994046
28,2011-01-02,Spring,0,1,3,0,0,0,2,0.46,0.94,0.194,2,4,6,Non-Rush Hour,Weekend,Mild,1.9459101490553132
29,2011-01-02,Spring,0,1,4,0,0,0,2,0.46,0.94,0.194,2,1,3,Non-Rush Hour,Weekend,Mild,1.3862943611198906
30,2011-01-02,Spring,0,1,6,0,0,0,3,0.42,0.77,0.2985,0,2,2,Non-Rush Hour,Weekend,Mild,1.0986122886681096
31,2011-01-02,Spring,0,1,7,0,0,0,2,0.4,0.76,0.194,0,1,1,Rush Hour,Weekend,Mild,0.6931471805599453
32,2011-01-02,Spring,0,1,8,0,0,0,3,0.4,0.71,0.2239,0,8,8,Rush Hour,Weekend,Mild,2.1972245773362196
33,2011-01-02,Spring,0,1,9,0,0,0,2,0.38,0.76,0.2239,1,19,20,Rush Hour,Weekend,Mild,3.044522437723423
34,2011-01-02,Spring,0,1,10,0,0,0,2,0.36,0.81,0.2239,7,46,53,Non-Rush Hour,Weekend,Mild,3.9889840465642745
35,2011-01-02,Spring,0,1,11,0,0,0,2,0.36,0.71,0.2537,16,54,70,Non-Rush Hour,Weekend,Mild,4.2626798770413155
36,2011-01-02,Spring,0,1,12,0,0,0,2,0.36,0.66,0.2985,20,73,93,Non-Rush Hour,Weekend,Mild,4.543294782270004
37,2011-01-02,Spring,0,1,13,0,0,0,2,0.36,0.66,0.1343,11,64,75,Non-Rush Hour,Weekend,Mild,4.330733340286331
38,2011-01-02,Spring,0,1,14,0,0,0,3,0.36,0.76,0.194,4,55,59,Non-Rush Hour,Weekend,Mild,4.0943445622221
39,2011-01-02,Spring,0,1,15,0,0,0,3,0.34,0.81,0.1642,19,55,74,Non-Rush Hour,Weekend,Mild,4.31748811353631
40,2011-01-02,Spring,0,1,16,0,0,0,3,0.34,0.71,0.1642,9,67,76,Rush Hour,Weekend,Mild,4.343805421853684
41,2011-01-02,Spring,0,1,17,0,0,0,1,0.34,0.57,0.194,7,58,65,Rush Hour,Weekend,Mild,4.189654742026425
42,2011-01-02,Spring,0,1,18,0,0,0,2,0.36,0.46,0.3284,10,43,53,Rush Hour,Weekend,Mild,3.9889840465642745
43,2011-01-02,Spring,0,1,19,0,0,0,1,0.32,0.42,0.4478,1,29,30,Rush Hour,Weekend,Mild,3.4339872044851463
44,2011-01-02,Spring,0,1,20,0,0,0,1,0.3,0.39,0.3582,5,17,22,Non-Rush Hour,Weekend,Cold,3.1354942159291497
45,2011-01-02,Spring,0,1,21,0,0,0,1,0.26,0.44,0.3284,11,20,31,Non-Rush Hour,Weekend,Cold,3.4657359027997265
46,2011-01-02,Spring,0,1,22,0,0,0,1,0.24,0.44,0.2985,0,9,9,Non-Rush Hour,Weekend,Cold,2.302585092994046
47,2011-01-02,Spring,0,1,23,0,0,0,1,0.22,0.47,0.1642,0,8,8,Non-Rush Hour,Weekend,Cold,2.1972245773362196
48,2011-01-03,Spring,0,1,0,0,1,1,1,0.22,0.44,0.3582,0,5,5,Non-Rush Hour,Weekday,Cold,1.791759469228055
49,2011-01-03,Spring,0,1,1,0,1,1,1,0.2,0.44,0.4179,0,2,2,Non-Rush Hour,Weekday,Cold,1.0986122886681096
50,2011-01-03,Spring,0,1,4,0,1,1,1,0.16,0.47,0.3881,0,1,1,Non-Rush Hour,Weekday,Cold,0.6931471805599453
51,2011-01-03,Spring,0,1,5,0,1,1,1,0.16,0.47,0.2836,0,3,3,Non-Rush Hour,Weekday,Cold,1.3862943611198906
52,2011-01-03,Spring,0,1,6,0,1,1,1,0.14,0.5,0.3881,0,30,30,Non-Rush Hour,Weekday,Cold,3.4339872044851463
53,2011-01-03,Spring,0,1,7,0,1,1,1,0.14,0.5,0.194,1,63,64,Rush Hour,Weekday,Cold,4.174387269895637
54,2011-01-03,Spring,0,1,8,0,1,1,1,0.14,0.5,0.2836,1,153,154,Rush Hour,Weekday,Cold,5.043425116919247
55,2011-01-03,Spring,0,1,9,0,1,1,1,0.16,0.43,0.3881,7,81,88,Rush Hour,Weekday,Cold,4.48863636973214
56,2011-01-03,Spring,0,1,10,0,1,1,1,0.18,0.43,0.2537,11,33,44,Non-Rush Hour,Weekday,Cold,3.8066624897703196
57,2011-01-03,Spring,0,1,11,0,1,1,1,0.2,0.4,0.3284,10,41,51,Non-Rush Hour,Weekday,Cold,3.9512437185814275
58,2011-01-03,Spring,0,1,12,0,1,1,1,0.22,0.35,0.2985,13,48,61,Non-Rush Hour,Weekday,Cold,4.127134385045092
59,2011-01-03,Spring,0,1,13,0,1,1,1,0.24,0.35,0.2836,8,53,61,Non-Rush Hour,Weekday,Cold,4.127134385045092
60,2011-01-03,Spring,0,1,14,0,1,1,1,0.26,0.3,0.2836,11,66,77,Non-Rush Hour,Weekday,Cold,4.356708826689592
61,2011-01-03,Spring,0,1,15,0,1,1,1,0.26,0.3,0.2537,14,58,72,Non-Rush Hour,Weekday,Cold,4.290459441148391
62,2011-01-03,Spring,0,1,16,0,1,1,1,0.26,0.3,0.2537,9,67,76,Rush Hour,Weekday,Cold,4.343805421853684
63,2011-01-03,Spring,0,1,17,0,1,1,1,0.24,0.3,0.2239,11,146,157,Rush Hour,Weekday,Cold,5.062595033026967
64,2011-01-03,Spring,0,1,18,0,1,1,1,0.24,0.32,0.1045,9,148,157,Rush Hour,Weekday,Cold,5.062595033026967
65,2011-01-03,Spring,0,1,19,0,1,1,1,0.2,0.47,0.194,8,102,110,Rush Hour,Weekday,Cold,4.709530201312334
66,2011-01-03,Spring,0,1,20,0,1,1,1,0.2,0.47,0.1045,3,49,52,Non-Rush Hour,Weekday,Cold,3.970291913552122
67,2011-01-03,Spring,0,1,21,0,1,1,1,0.18,0.64,0.1343,3,49,52,Non-Rush Hour,Weekday,Cold,3.970291913552122
68,2011-01-03,Spring,0,1,22,0,1,1,1,0.14,0.69,0.1343,0,20,20,Non-Rush Hour,Weekday,Cold,3.044522437723423
69,2011-01-03,Spring,0,1,23,0,1,1,1,0.18,0.55,0.1045,1,11,12,Non-Rush Hour,Weekday,Cold,2.5649493574615367
70,2011-01-04,Spring,0,1,0,0,2,1,1,0.16,0.55,0.1045,0,5,5,Non-Rush Hour,Weekday,Cold,1.791759469228055
71,2011-01-04,Spring,0,1,1,0,2,1,1,0.16,0.59,0.1045,0,2,2,Non-Rush Hour,Weekday,Cold,1.0986122886681096
72,2011-01-04,Spring,0,1,2,0,2,1,1,0.14,0.63,0.1343,0,1,1,Non-Rush Hour,Weekday,Cold,0.6931471805599453
73,2011-01-04,Spring,0,1,4,0,2,1,1,0.14,0.63,0.0896,0,2,2,Non-Rush Hour,Weekday,Cold,1.0986122886681096
74,2011-01-04,Spring,0,1,5,0,2,1,1,0.12,0.68,0.1045,0,4,4,Non-Rush Hour,Weekday,Cold,1.6094379124341003
75,2011-01-04,Spring,0,1,6,0,2,1,1,0.12,0.74,0.1045,0,36,36,Non-Rush Hour,Weekday,Cold,3.6109179126442243
76,2011-01-04,Spring,0,1,7,0,2,1,1,0.12,0.74,0.1343,2,92,94,Rush Hour,Weekday,Cold,4.553876891600541
77,2011-01-04,Spring,0,1,8,0,2,1,1,0.14,0.69,0.1642,2,177,179,Rush Hour,Weekday,Cold,5.19295685089021
78,2011-01-04,Spring,0,1,9,0,2,1,1,0.16,0.64,0.2239,2,98,100,Rush Hour,Weekday,Cold,4.61512051684126
79,2011-01-04,Spring,0,1,10,0,2,1,2,0.16,0.69,0.3284,5,37,42,Non-Rush Hour,Weekday,Cold,3.7612001156935624
80,2011-01-04,Spring,0,1,11,0,2,1,1,0.22,0.51,0.2985,7,50,57,Non-Rush Hour,Weekday,Cold,4.060443010546419
81,2011-01-04,Spring,0,1,12,0,2,1,1,0.22,0.51,0.1642,12,66,78,Non-Rush Hour,Weekday,Cold,4.3694478524670215
82,2011-01-04,Spring,0,1,13,0,2,1,1,0.24,0.56,0.194,18,79,97,Non-Rush Hour,Weekday,Cold,4.584967478670572
83,2011-01-04,Spring,0,1,14,0,2,1,1,0.26,0.52,0.2239,9,54,63,Non-Rush Hour,Weekday,Cold,4.1588830833596715
84,2011-01-04,Spring,0,1,15,0,2,1,1,0.28,0.52,0.2537,17,48,65,Non-Rush Hour,Weekday,Cold,4.189654742026425
85,2011-01-04,Spring,0,1,16,0,2,1,1,0.3,0.49,0.2537,15,68,83,Rush Hour,Weekday,Cold,4.430816798843313
86,2011-01-04,Spring,0,1,17,0,2,1,1,0.28,0.48,0.2239,10,202,212,Rush Hour,Weekday,Cold,5.3612921657094255
87,2011-01-04,Spring,0,1,18,0,2,1,1,0.26,0.48,0.194,3,179,182,Rush Hour,Weekday,Cold,5.209486152841421
88,2011-01-04,Spring,0,1,19,0,2,1,1,0.24,0.48,0.1045,2,110,112,Rush Hour,Weekday,Cold,4.727387818712341
89,2011-01-04,Spring,0,1,20,0,2,1,1,0.24,0.48,0.1045,1,53,54,Non-Rush Hour,Weekday,Cold,4.007333185232471
90,2011-01-04,Spring,0,1,21,0,2,1,1,0.22,0.64,0.194,0,48,48,Non-Rush Hour,Weekday,Cold,3.8918202981106265
91,2011-01-04,Spring,0,1,22,0,2,1,1,0.22,0.64,0.0896,1,34,35,Non-Rush Hour,Weekday,Cold,3.58351893845611
92,2011-01-04,Spring,0,1,23,0,2,1,1,0.2,0.69,0.0896,2,9,11,Non-Rush Hour,Weekday,Cold,2.4849066497880004
93,2011-01-05,Spring,0,1,0,0,3,1,1,0.2,0.64,0.194,0,6,6,Non-Rush Hour,Weekday,Cold,1.9459101490553132
94,2011-01-05,Spring,0,1,1,0,3,1,1,0.16,0.74,0.0896,0,6,6,Non-Rush Hour,Weekday,Cold,1.9459101490553132
95,2011-01-05,Spring,0,1,2,0,3,1,1,0.16,0.74,0.0896,0,2,2,Non-Rush Hour,Weekday,Cold,1.0986122886681096
96,2011-01-05,Spring,0,1,4,0,3,1,1,0.24,0.48,0.2239,0,2,2,Non-Rush Hour,Weekday,Cold,1.0986122886681096
97,2011-01-05,Spring,0,1,5,0,3,1,1,0.22,0.47,0.1642,0,3,3,Non-Rush Hour,Weekday,Cold,1.3862943611198906
98,2011-01-05,Spring,0,1,6,0,3,1,1,0.2,0.47,0.2239,0,33,33,Non-Rush Hour,Weekday,Cold,3.5263605246161616
99,2011-01-05,Spring,0,1,7,0,3,1,1,0.18,0.43,0.194,1,87,88,Rush Hour,Weekday,Cold,4.48863636973214
100,2011-01-05,Spring,0,1,8,0,3,1,1,0.2,0.4,0.2985,3,192,195,Rush Hour,Weekday,Cold,5.278114659230518
101,2011-01-05,Spring,0,1,9,0,3,1,1,0.22,0.37,0.3284,6,109,115,Rush Hour,Weekday,Cold,4.7535901911063645
102,2011-01-05,Spring,0,1,10,0,3,1,1,0.22,0.37,0.3284,4,53,57,Non-Rush Hour,Weekday,Cold,4.060443010546419
103,2011-01-05,Spring,0,1,11,0,3,1,1,0.26,0.33,0.3284,12,34,46,Non-Rush Hour,Weekday,Cold,3.8501476017100584
104,2011-01-05,Spring,0,1,12,0,3,1,1,0.26,0.33,0.3284,5,74,79,Non-Rush Hour,Weekday,Cold,4.382026634673881
105,2011-01-05,Spring,0,1,13,0,3,1,1,0.28,0.3,0.2985,6,65,71,Non-Rush Hour,Weekday,Cold,4.276666119016055
106,2011-01-05,Spring,0,1,14,0,3,1,1,0.3,0.28,0.194,10,52,62,Non-Rush Hour,Weekday,Cold,4.143134726391533
107,2011-01-05,Spring,0,1,15,0,3,1,1,0.3,0.28,0.194,7,55,62,Non-Rush Hour,Weekday,Cold,4.143134726391533
108,2011-01-05,Spring,0,1,16,0,3,1,1,0.3,0.28,0.0896,4,85,89,Rush Hour,Weekday,Cold,4.499809670330265
109,2011-01-05,Spring,0,1,17,0,3,1,1,0.24,0.38,0.194,4,186,190,Rush Hour,Weekday,Cold,5.25227342804663
110,2011-01-05,Spring,0,1,18,0,3,1,1,0.24,0.38,0.1343,3,166,169,Rush Hour,Weekday,Cold,5.135798437050262
111,2011-01-05,Spring,0,1,19,0,3,1,1,0.24,0.38,0.1045,5,127,132,Rush Hour,Weekday,Cold,4.890349128221754
112,2011-01-05,Spring,0,1,20,0,3,1,1,0.22,0.47,0.1642,7,82,89,Non-Rush Hour,Weekday,Cold,4.499809670330265
113,2011-01-05,Spring,0,1,21,0,3,1,1,0.2,0.51,0.194,3,40,43,Non-Rush Hour,Weekday,Cold,3.784189633918261
114,2011-01-05,Spring,0,1,22,0,3,1,1,0.18,0.55,0.1343,1,41,42,Non-Rush Hour,Weekday,Cold,3.7612001156935624
115,2011-01-05,Spring,0,1,23,0,3,1,1,0.2,0.47,0.194,1,18,19,Non-Rush Hour,Weekday,Cold,2.995732273553991
116,2011-01-06,Spring,0,1,0,0,4,1,1,0.18,0.55,0.194,0,11,11,Non-Rush Hour,Weekday,Cold,2.4849066497880004
117,2011-01-06,Spring,0,1,1,0,4,1,1,0.16,0.64,0.194,0,4,4,Non-Rush Hour,Weekday,Cold,1.6094379124341003
118,2011-01-06,Spring,0,1,2,0,4,1,1,0.16,0.64,0.194,0,2,2,Non-Rush Hour,Weekday,Cold,1.0986122886681096
119,2011-01-06,Spring,0,1,4,0,4,1,2,0.16,0.64,0.0896,0,1,1,Non-Rush Hour,Weekday,Cold,0.6931471805599453
120,2011-01-06,Spring,0,1,5,0,4,1,2,0.14,0.69,0.0896,0,4,4,Non-Rush Hour,Weekday,Cold,1.6094379124341003
121,2011-01-06,Spring,0,1,6,0,4,1,2,0.14,0.63,0.1045,0,36,36,Non-Rush Hour,Weekday,Cold,3.6109179126442243
122,2011-01-06,Spring,0,1,7,0,4,1,2,0.16,0.59,0.194,0,95,95,Rush Hour,Weekday,Cold,4.564348191467836
123,2011-01-06,Spring,0,1,8,0,4,1,1,0.16,0.59,0.194,3,216,219,Rush Hour,Weekday,Cold,5.393627546352361
124,2011-01-06,Spring,0,1,9,0,4,1,2,0.18,0.51,0.194,6,116,122,Rush Hour,Weekday,Cold,4.812184355372417
125,2011-01-06,Spring,0,1,10,0,4,1,1,0.2,0.47,0.194,3,42,45,Non-Rush Hour,Weekday,Cold,3.828641396489095
126,2011-01-06,Spring,0,1,11,0,4,1,1,0.22,0.44,0.0896,2,57,59,Non-Rush Hour,Weekday,Cold,4.0943445622221
127,2011-01-06,Spring,0,1,12,0,4,1,1,0.26,0.35,0.194,6,78,84,Non-Rush Hour,Weekday,Cold,4.442651256490317
128,2011-01-06,Spring,0,1,13,0,4,1,1,0.26,0.35,0.1045,12,55,67,Non-Rush Hour,Weekday,Cold,4.219507705176107
129,2011-01-06,Spring,0,1,14,0,4,1,1,0.28,0.36,0.1642,11,59,70,Non-Rush Hour,Weekday,Cold,4.2626798770413155
130,2011-01-06,Spring,0,1,15,0,4,1,1,0.28,0.36,0.194,8,54,62,Non-Rush Hour,Weekday,Cold,4.143134726391533
131,2011-01-06,Spring,0,1,16,0,4,1,1,0.26,0.38,0.1642,12,74,86,Rush Hour,Weekday,Cold,4.465908118654584
132,2011-01-06,Spring,0,1,17,0,4,1,1,0.22,0.51,0.1642,9,163,172,Rush Hour,Weekday,Cold,5.153291594497779
133,2011-01-06,Spring,0,1,18,0,4,1,1,0.22,0.51,0.1343,5,158,163,Rush Hour,Weekday,Cold,5.099866427824199
134,2011-01-06,Spring,0,1,19,0,4,1,1,0.22,0.55,0.0896,3,109,112,Rush Hour,Weekday,Cold,4.727387818712341
135,2011-01-06,Spring,0,1,20,0,4,1,1,0.2,0.51,0.1642,3,66,69,Non-Rush Hour,Weekday,Cold,4.248495242049359
136,2011-01-06,Spring,0,1,21,0,4,1,2,0.22,0.55,0.2239,0,48,48,Non-Rush Hour,Weekday,Cold,3.8918202981106265
137,2011-01-06,Spring,0,1,22,0,4,1,2,0.22,0.51,0.2836,1,51,52,Non-Rush Hour,Weekday,Cold,3.970291913552122
138,2011-01-06,Spring,0,1,23,0,4,1,2,0.2,0.59,0.194,4,19,23,Non-Rush Hour,Weekday,Cold,3.1780538303479458
139,2011-01-07,Spring,0,1,0,0,5,1,2,0.2,0.64,0.194,4,13,17,Non-Rush Hour,Weekday,Cold,2.8903717578961645
140,2011-01-07,Spring,0,1,1,0,5,1,2,0.2,0.69,0.2239,2,5,7,Non-Rush Hour,Weekday,Cold,2.0794415416798357
141,2011-01-07,Spring,0,1,2,0,5,1,2,0.2,0.69,0.2239,0,1,1,Non-Rush Hour,Weekday,Cold,0.6931471805599453
142,2011-01-07,Spring,0,1,4,0,5,1,2,0.2,0.69,0.1343,0,1,1,Non-Rush Hour,Weekday,Cold,0.6931471805599453
143,2011-01-07,Spring,0,1,5,0,5,1,3,0.22,0.55,0.194,0,5,5,Non-Rush Hour,Weekday,Cold,1.791759469228055
144,2011-01-07,Spring,0,1,6,0,5,1,2,0.2,0.69,0.194,8,26,34,Non-Rush Hour,Weekday,Cold,3.5553480614894135
145,2011-01-07,Spring,0,1,7,0,5,1,1,0.2,0.69,0.1343,8,76,84,Rush Hour,Weekday,Cold,4.442651256490317
146,2011-01-07,Spring,0,1,8,0,5,1,1,0.2,0.51,0.2537,20,190,210,Rush Hour,Weekday,Cold,5.351858133476067
147,2011-01-07,Spring,0,1,9,0,5,1,1,0.2,0.47,0.2985,9,125,134,Rush Hour,Weekday,Cold,4.90527477843843
148,2011-01-07,Spring,0,1,10,0,5,1,1,0.22,0.37,0.3284,16,47,63,Non-Rush Hour,Weekday,Cold,4.1588830833596715
149,2011-01-07,Spring,0,1,11,0,5,1,2,0.2,0.4,0.2239,19,48,67,Non-Rush Hour,Weekday,Cold,4.219507705176107
150,2011-01-07,Spring,0,1,12,0,5,1,2,0.2,0.37,0.2537,9,50,59,Non-Rush Hour,Weekday,Cold,4.0943445622221
151,2011-01-07,Spring,0,1,13,0,5,1,2,0.2,0.37,0.2836,9,64,73,Non-Rush Hour,Weekday,Cold,4.304065093204169
152,2011-01-07,Spring,0,1,14,0,5,1,2,0.2,0.4,0.2537,7,43,50,Non-Rush Hour,Weekday,Cold,3.9318256327243257
153,2011-01-07,Spring,0,1,15,0,5,1,2,0.2,0.37,0.1642,9,63,72,Non-Rush Hour,Weekday,Cold,4.290459441148391
154,2011-01-07,Spring,0,1,16,0,5,1,2,0.2,0.37,0.1642,5,82,87,Rush Hour,Weekday,Cold,4.477336814478207
155,2011-01-07,Spring,0,1,17,0,5,1,2,0.2,0.37,0.194,9,178,187,Rush Hour,Weekday,Cold,5.236441962829949
156,2011-01-07,Spring,0,1,18,0,5,1,1,0.2,0.4,0.0896,7,116,123,Rush Hour,Weekday,Cold,4.820281565605037
157,2011-01-07,Spring,0,1,19,0,5,1,1,0.16,0.55,0.0896,3,92,95,Rush Hour,Weekday,Cold,4.564348191467836
158,2011-01-07,Spring,0,1,20,0,5,1,1,0.18,0.47,0.1045,1,50,51,Non-Rush Hour,Weekday,Cold,3.9512437185814275
159,2011-01-07,Spring,0,1,21,0,5,1,1,0.18,0.47,0.1343,0,39,39,Non-Rush Hour,Weekday,Cold,3.6888794541139363
160,2011-01-07,Spring,0,1,22,0,5,1,2,0.18,0.43,0.1642,2,34,36,Non-Rush Hour,Weekday,Cold,3.6109179126442243
161,2011-01-07,Spring,0,1,23,0,5,1,2,0.18,0.51,0.1642,1,14,15,Non-Rush Hour,Weekday,Cold,2.772588722239781
162,2011-01-08,Spring,0,1,0,0,6,0,2,0.18,0.51,0.1642,1,24,25,Non-Rush Hour,Weekend,Cold,3.258096538021482
163,2011-01-08,Spring,0,1,1,0,6,0,2,0.18,0.55,0.0896,1,15,16,Non-Rush Hour,Weekend,Cold,2.833213344056216
164,2011-01-08,Spring,0,1,2,0,6,0,2,0.18,0.55,0.194,3,13,16,Non-Rush Hour,Weekend,Cold,2.833213344056216
165,2011-01-08,Spring,0,1,3,0,6,0,3,0.18,0.55,0.1642,0,7,7,Non-Rush Hour,Weekend,Cold,2.0794415416798357
166,2011-01-08,Spring,0,1,4,0,6,0,3,0.18,0.55,0.1642,0,1,1,Non-Rush Hour,Weekend,Cold,0.6931471805599453
167,2011-01-08,Spring,0,1,5,0,6,0,2,0.16,0.74,0.1642,0,5,5,Non-Rush Hour,Weekend,Cold,1.791759469228055
168,2011-01-08,Spring,0,1,6,0,6,0,2,0.16,0.74,0.1642,0,2,2,Non-Rush Hour,Weekend,Cold,1.0986122886681096
169,2011-01-08,Spring,0,1,7,0,6,0,2,0.16,0.74,0.1045,1,8,9,Rush Hour,Weekend,Cold,2.302585092994046
170,2011-01-08,Spring,0,1,8,0,6,0,3,0.16,0.93,0.1045,0,15,15,Rush Hour,Weekend,Cold,2.772588722239781
171,2011-01-08,Spring,0,1,9,0,6,0,3,0.16,0.93,0.1045,0,20,20,Rush Hour,Weekend,Cold,3.044522437723423
172,2011-01-08,Spring,0,1,10,0,6,0,2,0.18,0.8,0.1642,5,56,61,Non-Rush Hour,Weekend,Cold,4.127134385045092
173,2011-01-08,Spring,0,1,11,0,6,0,2,0.2,0.69,0.3881,2,60,62,Non-Rush Hour,Weekend,Cold,4.143134726391533
174,2011-01-08,Spring,0,1,12,0,6,0,2,0.2,0.59,0.3582,8,90,98,Non-Rush Hour,Weekend,Cold,4.59511985013459
175,2011-01-08,Spring,0,1,13,0,6,0,1,0.2,0.44,0.3284,7,95,102,Non-Rush Hour,Weekend,Cold,4.634728988229636
176,2011-01-08,Spring,0,1,14,0,6,0,1,0.2,0.32,0.4925,12,83,95,Non-Rush Hour,Weekend,Cold,4.564348191467836
177,2011-01-08,Spring,0,1,15,0,6,0,1,0.2,0.32,0.4478,5,69,74,Non-Rush Hour,Weekend,Cold,4.31748811353631
178,2011-01-08,Spring,0,1,16,0,6,0,1,0.18,0.29,0.4478,8,68,76,Rush Hour,Weekend,Cold,4.343805421853684
179,2011-01-08,Spring,0,1,17,0,6,0,1,0.16,0.37,0.5522,5,64,69,Rush Hour,Weekend,Cold,4.248495242049359
180,2011-01-08,Spring,0,1,18,0,6,0,1,0.14,0.39,0.2985,3,52,55,Rush Hour,Weekend,Cold,4.02535169073515
181,2011-01-08,Spring,0,1,19,0,6,0,1,0.14,0.36,0.2537,4,26,30,Rush Hour,Weekend,Cold,3.4339872044851463
182,2011-01-08,Spring,0,1,20,0,6,0,1,0.12,0.36,0.2537,0,28,28,Non-Rush Hour,Weekend,Cold,3.367295829986474
183,2011-01-08,Spring,0,1,21,0,6,0,1,0.12,0.39,0.3582,2,35,37,Non-Rush Hour,Weekend,Cold,3.6375861597263857
184,2011-01-08,Spring,0,1,22,0,6,0,1,0.12,0.36,0.3881,1,33,34,Non-Rush Hour,Weekend,Cold,3.5553480614894135
185,2011-01-08,Spring,0,1,23,0,6,0,1,0.1,0.39,0.4478,0,22,22,Non-Rush Hour,Weekend,Cold,3.1354942159291497
186,2011-01-09,Spring,0,1,0,0,0,0,1,0.1,0.42,0.3881,1,24,25,Non-Rush Hour,Weekend,Cold,3.258096538021482
187,2011-01-09,Spring,0,1,1,0,0,0,1,0.1,0.42,0.4627,0,12,12,Non-Rush Hour,Weekend,Cold,2.5649493574615367
188,2011-01-09,Spring,0,1,2,0,0,0,1,0.1,0.46,0.4627,0,11,11,Non-Rush Hour,Weekend,Cold,2.4849066497880004
189,2011-01-09,Spring,0,1,3,0,0,0,1,0.1,0.46,0.4179,0,4,4,Non-Rush Hour,Weekend,Cold,1.6094379124341003
190,2011-01-09,Spring,0,1,4,0,0,0,1,0.08,0.53,0.194,0,1,1,Non-Rush Hour,Weekend,Cold,0.6931471805599453
191,2011-01-09,Spring,0,1,5,0,0,0,1,0.08,0.53,0.194,0,1,1,Non-Rush Hour,Weekend,Cold,0.6931471805599453
